STAID,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
02302500,37.6,75,23,35,9.0,23,0.281,0.231,0.4,275.1,0.089,-0.996
02303000,32.1,75,11,30,10.2,11,0.329,0.297,0.5,271.9,0.032,-0.999
02303205,31.9,46,14,33,5.9,16,0.561,0.594,0.5,300.7,0.510,-0.860
02303300,24.4,46,8,24,8.6,11,0.432,0.421,0.6,283.0,0.225,-0.974
02303330,28.4,75,6,28,10.8,9,0.325,0.319,0.4,259.6,-0.180,-0.984
02303350,18.5,32,10,18,4.3,11,0.384,0.364,0.1,223.1,-0.730,-0.684
02303400,35.0,76,21,32,11.6,22,0.255,0.200,0.9,225.2,-0.704,-0.710
02303420,27.7,76,12,24,10.4,12,0.245,0.188,0.5,223.3,-0.728,-0.686
02303800,24.3,76,8,22,10.6,8,0.240,0.206,0.4,208.9,-0.875,-0.483
02304500,25.5,76,3,24,11.2,6,0.309,0.288,0.4,240.1,-0.498,-0.867
02304510,25.5,76,0,24,11.2,5,0.336,0.316,0.4,240.4,-0.494,-0.870
02306500,14.3,18,9,15,1.9,10,0.585,0.667,0.1,164.6,-0.964,0.265
02306647,11.6,18,3,11,3.1,4,0.571,0.533,0.1,220.1,-0.764,-0.645
02306774,16.3,23,6,17,2.9,6,0.607,0.647,0.1,234.0,-0.588,-0.809
02306950,15.5,22,7,16,2.4,7,0.567,0.600,0.1,219.1,-0.776,-0.630
02307000,15.3,23,1,16,3.5,0,0.650,0.682,0.1,220.9,-0.755,-0.655
02307323,15.4,23,7,16,3.1,8,0.527,0.563,0.1,257.5,-0.216,-0.976
02307359,11.7,20,3,12,3.8,3,0.510,0.529,0.1,244.6,-0.429,-0.903
02307668,18.3,27,9,18,3.4,9,0.519,0.500,0.2,183.8,-0.998,-0.067
02307671,16.2,27,4,17,5.1,4,0.531,0.565,0.4,107.5,-0.301,0.954
02307697,14.6,29,0,16,6.8,3,0.505,0.552,0.7,119.2,-0.489,0.873
02308935,13.9,20,9,14,1.4,9,0.442,0.455,0.1,318.8,0.752,-0.659
02309415,23.5,30,19,22,3.3,20,0.412,0.273,0.2,275.0,0.087,-0.996
02309421,21.1,30,9,21,4.6,11,0.576,0.571,0.5,286.8,0.289,-0.957
02309848,18.2,22,14,18,1.5,14,0.529,0.500,0.0,253.5,-0.284,-0.959
02310000,15.6,25,3,15,3.8,6,0.572,0.545,0.0,257.6,-0.214,-0.977
02310147,5.3,17,2,5,1.6,4,0.219,0.200,0.1,266.4,-0.062,-0.998
02310525,14.4,40,1,14,6.0,5,0.345,0.333,0.8,270.3,0.005,-1.000
02310650,7.9,30,0,5,7.0,0,0.264,0.167,0.4,263.8,-0.108,-0.994
02310700,21.9,70,0,24,12.1,0,0.313,0.343,1.6,257.2,-0.222,-0.975
02310747,11.9,54,0,5,13.1,0,0.220,0.093,0.7,241.0,-0.485,-0.874
02310947,35.8,56,25,36,4.5,25,0.349,0.355,0.1,305.2,0.576,-0.817
02311500,34.6,58,21,36,5.3,22,0.369,0.405,0.1,308.0,0.615,-0.788
02312000,32.5,91,16,32,7.4,16,0.220,0.213,0.3,306.3,0.591,-0.806
02312200,28.3,45,19,28,3.6,19,0.356,0.346,0.1,260.7,-0.162,-0.987
02312300,32.4,91,14,32,7.7,17,0.239,0.234,0.4,309.6,0.637,-0.771
02312500,30.9,91,13,30,7.5,14,0.230,0.218,0.4,299.9,0.498,-0.867
02312558,31.0,91,12,30,8.3,14,0.241,0.228,0.6,307.7,0.612,-0.791
02312598,30.1,91,10,29,8.7,12,0.248,0.235,0.6,308.9,0.628,-0.778
02312600,30.0,91,10,29,8.7,12,0.247,0.235,0.6,310.0,0.643,-0.766
02312667,20.5,27,12,21,3.3,14,0.567,0.600,0.2,251.2,-0.323,-0.946
02312700,23.1,56,12,23,6.3,12,0.252,0.250,0.6,248.2,-0.371,-0.929
02312720,26.9,91,4,27,9.0,11,0.264,0.264,0.6,302.4,0.536,-0.844
02312722,26.8,91,4,27,9.1,12,0.262,0.264,0.6,300.3,0.504,-0.863
02312762,26.6,91,4,26,9.2,11,0.259,0.253,0.6,298.9,0.484,-0.875
02313000,26.2,91,1,26,9.6,11,0.280,0.278,0.6,294.2,0.410,-0.912
02313230,25.2,91,0,25,9.4,7,0.277,0.275,0.6,285.6,0.270,-0.963
02313700,15.7,50,0,16,8.0,0,0.314,0.320,0.3,222.1,-0.742,-0.671
02314200,15.9,34,6,16,4.5,7,0.355,0.357,0.2,263.2,-0.118,-0.993
02314500,40.8,62,29,38,6.5,29,0.358,0.273,0.0,133.2,-0.685,0.729
02315000,41.3,71,23,39,7.0,32,0.382,0.333,0.0,130.5,-0.650,0.760
02315500,41.1,71,15,39,7.1,21,0.466,0.429,0.1,126.1,-0.589,0.808
02315550,40.8,71,12,39,7.2,14,0.488,0.458,0.2,118.9,-0.483,0.876
02316000,106.0,156,68,106,14.1,68,0.431,0.432,1.5,142.3,-0.792,0.611
02317500,87.4,156,26,92,24.8,28,0.472,0.508,1.0,145.6,-0.825,0.565
02317620,81.5,156,18,82,26.7,22,0.460,0.464,0.9,142.0,-0.787,0.616
023177483,75.2,124,39,72,14.7,39,0.426,0.388,0.7,150.4,-0.869,0.494
02318000,99.1,147,54,100,16.8,54,0.485,0.495,1.5,148.0,-0.848,0.530
02318500,81.5,147,27,79,21.8,28,0.454,0.433,1.1,146.1,-0.830,0.558
02318700,70.2,127,33,69,17.8,35,0.396,0.383,1.2,148.4,-0.852,0.523
02319000,74.7,147,14,72,23.3,19,0.457,0.436,1.1,148.4,-0.851,0.525
02319300,72.2,147,11,69,24.5,17,0.450,0.426,1.2,148.1,-0.849,0.529
02319394,70.2,147,9,69,25.8,10,0.443,0.435,1.1,148.1,-0.849,0.528
02319500,60.4,156,9,51,27.1,9,0.350,0.286,0.7,140.3,-0.769,0.639
02319800,59.4,156,6,50,27.3,20,0.356,0.293,0.7,140.5,-0.772,0.636
02320000,58.8,156,6,50,27.4,17,0.352,0.293,0.7,140.1,-0.767,0.642
02320500,56.8,155,2,48,27.7,11,0.358,0.301,0.7,143.9,-0.808,0.588
02320700,45.9,76,33,45,4.9,35,0.301,0.279,0.1,266.8,-0.057,-0.998
02321000,43.8,76,25,42,6.7,27,0.369,0.333,0.2,267.2,-0.048,-0.999
02321500,42.8,87,14,43,8.1,14,0.395,0.397,0.3,276.5,0.112,-0.994
02322000,40.4,87,7,42,9.7,11,0.418,0.438,0.6,264.8,-0.090,-0.996
02322500,39.1,87,5,42,10.6,6,0.416,0.451,0.6,269.0,-0.017,-1.000
02322698,31.0,65,4,29,10.5,4,0.443,0.410,1.0,209.3,-0.872,-0.489
02322700,30.8,65,4,28,10.6,5,0.439,0.393,1.0,206.0,-0.899,-0.439
02322800,34.9,87,2,37,12.0,2,0.387,0.412,0.6,258.1,-0.206,-0.979
02323000,52.5,156,0,44,27.3,1,0.337,0.282,0.7,149.2,-0.859,0.512
02323500,51.6,156,0,43,27.6,7,0.331,0.276,0.7,150.9,-0.874,0.486
02323592,50.2,156,0,43,28.2,0,0.322,0.276,0.7,154.8,-0.904,0.427
02324000,21.5,48,4,21,7.7,5,0.397,0.386,0.7,206.1,-0.898,-0.440
02324400,27.7,47,17,28,2.4,20,0.355,0.367,0.1,220.2,-0.763,-0.646
02324500,26.4,48,9,27,5.4,10,0.447,0.462,0.2,225.1,-0.706,-0.708
02325000,23.2,53,4,26,7.5,6,0.392,0.449,0.1,236.2,-0.556,-0.831
02326000,23.7,61,5,27,8.7,7,0.334,0.393,0.2,200.2,-0.939,-0.345
02326500,38.5,92,14,33,14.5,15,0.314,0.244,1.3,166.4,-0.972,0.236
02326512,36.5,92,2,32,15.4,3,0.384,0.333,1.2,172.6,-0.992,0.128
02326550,32.1,92,0,29,17.9,0,0.348,0.315,1.1,179.7,-1.000,0.005
02326900,38.9,94,1,39,18.0,3,0.407,0.409,2.0,192.0,-0.978,-0.207
02327033,24.8,44,5,24,6.9,5,0.507,0.487,0.9,173.9,-0.994,0.106
02327100,22.2,44,1,21,7.3,6,0.494,0.465,0.8,164.4,-0.963,0.269
02327500,86.8,137,44,85,17.8,45,0.460,0.441,1.5,165.8,-0.969,0.246
02328000,81.4,108,49,83,11.7,52,0.549,0.576,2.1,165.7,-0.969,0.247
02328522,80.3,137,30,80,19.1,30,0.470,0.467,1.7,162.2,-0.952,0.306
02329000,75.6,137,24,76,21.7,25,0.457,0.460,1.8,159.9,-0.939,0.344
02329342,78.1,98,50,81,9.6,51,0.585,0.646,1.9,151.9,-0.882,0.472
02329500,72.4,104,27,75,15.1,27,0.590,0.623,2.5,170.1,-0.985,0.172
02329600,69.7,104,21,72,16.6,24,0.587,0.614,2.6,167.0,-0.974,0.225
02330000,69.8,137,8,71,22.8,15,0.479,0.488,2.0,161.3,-0.947,0.321
02330100,69.2,104,39,70,12.6,45,0.465,0.477,1.3,159.7,-0.938,0.347
02330150,65.1,137,4,67,24.8,6,0.459,0.474,1.9,160.3,-0.942,0.337
02330400,19.3,56,1,18,7.8,8,0.333,0.309,0.7,167.3,-0.976,0.219
02330450,757.1,1343,431,768,175.6,431,0.358,0.370,24.8,157.9,-0.927,0.376
02331000,589.5,1343,376,508,184.1,386,0.221,0.137,16.6,151.6,-0.880,0.475
02331600,538.8,1343,349,471,158.4,363,0.191,0.123,12.6,163.2,-0.957,0.289
02333500,556.2,1345,348,499,145.6,364,0.209,0.151,14.8,174.6,-0.996,0.093
02334430,459.1,1345,280,424,138.8,280,0.168,0.135,9.6,169.7,-0.984,0.179
02334480,329.8,377,286,329,21.0,288,0.482,0.473,5.6,269.7,-0.005,-1.000
02334500,457.0,1345,277,422,138.6,280,0.169,0.136,9.5,170.0,-0.985,0.174
02334578,324.5,360,298,323,14.6,298,0.427,0.403,3.8,241.0,-0.486,-0.874
02334620,333.1,378,280,337,20.4,292,0.542,0.582,5.3,128.5,-0.623,0.782
02334885,333.2,391,276,334,21.4,278,0.498,0.504,4.4,223.4,-0.726,-0.688
02335000,443.2,1345,264,412,137.3,275,0.166,0.137,9.0,171.6,-0.989,0.146
02335350,303.0,336,268,304,14.8,268,0.515,0.529,3.9,290.1,0.344,-0.939
02335450,438.0,1345,262,407,137.7,262,0.163,0.134,8.9,171.8,-0.990,0.143
02335580,350.5,584,310,348,25.2,310,0.148,0.139,4.8,193.3,-0.973,-0.230
02335700,341.2,584,296,339,23.8,296,0.157,0.149,4.3,195.1,-0.965,-0.261
02335757,336.6,584,286,335,22.9,287,0.170,0.164,4.0,184.2,-0.997,-0.073
02335790,315.6,413,260,317,20.6,268,0.364,0.373,4.8,128.5,-0.622,0.783
02335815,426.4,1345,242,391,134.9,242,0.167,0.135,8.4,171.7,-0.990,0.144
023358685,322.5,395,278,323,16.3,280,0.380,0.385,3.8,155.7,-0.911,0.412
02335870,317.9,414,268,318,19.6,270,0.342,0.342,4.1,137.9,-0.743,0.670
02335910,307.1,361,255,307,16.0,252,0.492,0.491,3.3,113.8,-0.403,0.915
02336000,419.0,1345,226,381,134.2,241,0.172,0.139,8.2,169.4,-0.983,0.183
02336030,310.2,333,288,312,8.9,288,0.494,0.533,2.9,234.0,-0.588,-0.809
02336120,294.3,342,249,294,16.7,249,0.487,0.484,4.0,218.5,-0.783,-0.622
02336240,301.4,342,254,303,16.8,255,0.539,0.557,3.7,255.6,-0.249,-0.969
02336300,292.1,342,233,293,19.8,244,0.543,0.550,4.0,234.7,-0.578,-0.816
02336360,298.3,350,248,300,17.2,249,0.493,0.510,4.1,197.2,-0.955,-0.296
02336410,291.3,350,231,294,21.0,232,0.507,0.529,4.4,203.0,-0.920,-0.391
02336490,407.4,1345,225,369,133.5,234,0.163,0.129,7.8,172.0,-0.990,0.139
02336526,285.7,327,195,286,19.9,242,0.687,0.689,4.2,319.1,0.756,-0.654
02336635,295.4,342,228,299,23.1,228,0.591,0.623,4.7,146.4,-0.833,0.553
02336728,278.7,325,226,277,21.6,228,0.532,0.515,4.5,274.5,0.078,-0.997
02336968,309.1,542,270,304,23.4,274,0.144,0.125,3.8,161.5,-0.948,0.317
02337000,309.4,542,260,306,22.9,262,0.175,0.163,3.8,142.9,-0.798,0.603
02337040,308.5,542,223,305,23.2,229,0.268,0.257,3.9,140.2,-0.768,0.640
02337170,381.7,1345,195,341,127.5,224,0.162,0.127,7.0,170.7,-0.987,0.162
02337410,333.0,411,258,335,23.9,258,0.490,0.503,5.4,128.3,-0.620,0.784
02337498,332.1,422,269,335,25.5,271,0.413,0.431,5.0,134.7,-0.703,0.711
02337500,330.8,422,255,334,26.2,256,0.454,0.473,5.1,129.4,-0.635,0.773
02338000,367.9,1345,195,331,122.9,212,0.150,0.118,6.7,167.9,-0.978,0.210
02338500,358.7,1345,195,326,121.3,208,0.142,0.114,6.5,164.6,-0.964,0.266
02338523,349.5,458,280,346,31.8,281,0.391,0.371,6.1,105.0,-0.259,0.966
02338660,241.5,305,195,241,21.2,196,0.422,0.418,4.0,211.5,-0.852,-0.523
02339495,217.4,272,171,217,19.8,173,0.460,0.455,3.7,128.1,-0.617,0.787
02339500,328.4,1345,164,304,118.9,165,0.139,0.119,5.9,164.9,-0.966,0.260
02340500,233.5,399,163,231,32.3,165,0.299,0.288,4.5,257.3,-0.219,-0.976
02341500,300.3,1345,58,275,116.9,62,0.188,0.169,5.4,170.1,-0.985,0.173
02341505,300.4,1345,58,275,117.1,72,0.188,0.169,5.4,170.2,-0.985,0.171
02341725,159.3,246,97,157,28.4,108,0.418,0.403,4.2,254.0,-0.276,-0.961
02341800,156.5,261,82,154,32.4,94,0.416,0.402,3.8,215.3,-0.816,-0.578
02341910,142.0,234,83,139,28.3,89,0.391,0.371,4.2,257.7,-0.213,-0.977
02342070,150.2,261,59,147,33.7,74,0.451,0.436,3.9,218.7,-0.780,-0.625
02342500,136.6,255,63,132,33.9,67,0.383,0.359,3.4,158.9,-0.933,0.360
02342850,135.6,224,72,133,27.2,85,0.418,0.401,4.7,245.8,-0.410,-0.912
02342933,110.0,205,62,109,19.9,71,0.336,0.329,3.2,123.2,-0.547,0.837
02343225,130.2,203,65,129,26.7,66,0.472,0.464,4.7,181.9,-0.999,-0.034
02343300,111.0,170,48,112,21.0,53,0.516,0.525,4.3,155.7,-0.912,0.411
02343801,219.1,1345,22,204,130.2,28,0.149,0.138,4.7,170.9,-0.987,0.158
02343940,66.3,94,41,66,7.9,45,0.477,0.472,1.1,205.7,-0.901,-0.434
02344350,274.2,323,234,274,18.3,237,0.452,0.449,2.9,152.6,-0.888,0.460
02344396,271.4,323,229,271,18.5,230,0.451,0.447,2.9,156.9,-0.920,0.392
02344478,269.2,305,231,270,16.2,232,0.516,0.527,3.1,272.5,0.043,-0.999
02344500,264.3,323,219,263,19.7,219,0.436,0.423,2.7,175.1,-0.996,0.085
02344605,283.8,322,245,284,15.4,245,0.504,0.506,3.1,165.9,-0.970,0.244
02344620,275.4,318,242,275,14.3,254,0.439,0.434,3.0,128.4,-0.622,0.783
02344630,277.3,322,229,278,17.8,230,0.519,0.527,3.1,147.6,-0.844,0.536
02344700,272.1,322,225,274,20.3,225,0.486,0.505,3.1,159.2,-0.935,0.355
02344872,259.0,323,207,258,21.2,207,0.448,0.440,2.7,167.5,-0.976,0.216
02346180,256.5,419,145,255,25.1,153,0.407,0.401,3.2,157.1,-0.921,0.389
02346310,264.1,299,231,264,16.0,239,0.486,0.485,2.9,149.9,-0.865,0.502
02346500,245.2,393,194,242,24.7,198,0.257,0.241,3.2,151.5,-0.879,0.477
02347500,241.3,419,102,245,37.3,108,0.439,0.451,3.4,153.1,-0.892,0.452
02349000,178.6,253,110,179,25.4,116,0.479,0.483,3.6,105.8,-0.272,0.962
02349500,208.4,419,75,220,55.7,90,0.388,0.422,3.4,147.1,-0.840,0.543
02349605,208.4,419,75,220,55.7,80,0.388,0.422,3.4,147.5,-0.844,0.537
02349900,124.0,162,95,123,11.8,100,0.433,0.418,1.7,180.4,-1.000,-0.007
02350080,111.3,153,74,109,16.6,80,0.472,0.443,1.7,117.1,-0.456,0.890
02350512,181.7,419,57,176,66.8,61,0.345,0.329,2.9,157.5,-0.924,0.383
02350600,168.1,245,101,168,22.1,102,0.466,0.465,3.8,160.3,-0.942,0.336
02350900,141.2,245,66,143,32.5,72,0.420,0.430,2.9,146.4,-0.833,0.553
02351500,151.9,226,99,151,21.0,106,0.417,0.409,2.9,153.5,-0.895,0.447
02351890,125.2,226,66,125,30.3,67,0.370,0.369,1.9,160.8,-0.945,0.328
02352500,165.2,419,47,151,66.9,50,0.318,0.280,2.6,160.5,-0.943,0.333
02353000,157.0,419,36,143,70.0,36,0.316,0.279,2.5,168.4,-0.980,0.201
02353265,114.5,176,59,115,24.3,60,0.475,0.479,1.9,143.3,-0.802,0.597
02353400,112.2,164,66,112,19.0,66,0.471,0.469,2.1,152.6,-0.888,0.460
02353500,103.4,176,48,104,27.7,50,0.433,0.438,1.7,140.1,-0.767,0.642
02354500,73.5,127,45,69,17.6,45,0.348,0.293,0.5,156.6,-0.918,0.397
02354800,91.0,176,39,87,29.2,45,0.380,0.350,1.2,143.6,-0.805,0.594
02355350,89.5,176,32,85,29.8,37,0.399,0.368,1.2,143.7,-0.806,0.592
02355662,144.3,419,27,127,70.6,36,0.299,0.255,2.2,161.1,-0.946,0.323
02356000,137.9,419,23,121,71.6,24,0.290,0.247,2.2,169.8,-0.984,0.178
02357000,60.5,124,31,60,15.1,32,0.318,0.312,0.6,160.1,-0.941,0.340
02357150,57.4,124,23,56,15.9,24,0.340,0.327,0.6,161.2,-0.946,0.323
02358000,169.5,1345,14,136,115.1,14,0.117,0.092,3.2,169.5,-0.983,0.182
02358700,166.4,1345,0,132,115.3,19,0.124,0.098,3.2,169.2,-0.982,0.188
02358754,164.6,1345,0,131,115.8,6,0.122,0.097,3.2,169.8,-0.984,0.177
02358789,50.7,114,18,45,18.4,23,0.340,0.281,1.3,163.6,-0.959,0.282
02359000,46.7,114,9,42,17.8,13,0.359,0.314,1.4,167.5,-0.976,0.217
02359051,41.5,115,2,39,19.0,5,0.350,0.327,1.2,159.1,-0.934,0.357
02359170,154.8,1345,0,121,116.4,1,0.115,0.090,3.0,169.0,-0.982,0.191
02359500,49.9,99,2,51,21.8,2,0.494,0.505,2.1,195.5,-0.964,-0.267
02361000,114.0,192,44,114,24.5,49,0.473,0.473,3.8,168.1,-0.978,0.207
02361500,101.3,192,29,100,27.1,30,0.444,0.436,3.6,166.4,-0.972,0.236
02362240,101.4,144,61,102,15.7,64,0.487,0.494,3.4,190.2,-0.984,-0.176
02363000,132.1,210,78,133,20.8,78,0.410,0.417,3.6,165.5,-0.968,0.250
02364500,112.9,210,30,114,29.2,38,0.461,0.467,3.6,168.7,-0.981,0.196
02364570,70.5,98,45,71,8.5,48,0.482,0.491,2.4,161.1,-0.946,0.324
02365200,97.3,210,19,97,32.5,20,0.410,0.408,3.3,165.3,-0.967,0.254
02365470,51.1,98,17,48,16.4,17,0.420,0.383,1.5,198.7,-0.947,-0.320
02365500,92.2,210,14,92,35.2,15,0.399,0.398,3.2,167.3,-0.976,0.219
02365769,42.7,85,8,43,16.3,8,0.451,0.455,2.6,145.8,-0.827,0.562
02366000,37.4,100,7,36,15.8,9,0.327,0.312,1.5,254.2,-0.272,-0.962
02366500,80.6,210,2,80,39.9,2,0.378,0.375,2.9,167.0,-0.975,0.224
02366996,57.6,91,18,58,16.5,18,0.543,0.548,3.3,139.9,-0.764,0.645
02367000,52.0,91,7,52,18.0,23,0.536,0.536,3.3,153.7,-0.897,0.443
02367310,43.4,74,3,44,14.3,5,0.569,0.577,2.9,197.7,-0.953,-0.303
02367900,80.8,159,25,78,23.7,25,0.416,0.396,2.7,186.5,-0.994,-0.113
02368000,75.5,159,14,74,25.4,14,0.424,0.414,2.7,177.2,-0.999,0.048
02368500,70.3,99,36,71,11.3,37,0.544,0.556,1.9,199.4,-0.943,-0.333
02369000,63.1,107,15,64,16.5,17,0.523,0.533,2.2,183.4,-0.998,-0.059
02369600,63.6,159,0,63,26.1,5,0.400,0.396,2.4,186.9,-0.993,-0.119
02369800,69.7,104,38,69,10.1,39,0.481,0.470,2.1,197.6,-0.953,-0.302
02370000,60.6,104,21,62,14.5,24,0.477,0.494,2.2,194.8,-0.967,-0.256
02370500,53.4,92,5,55,17.8,6,0.556,0.575,1.9,150.7,-0.872,0.490
02370700,55.4,76,17,57,10.6,18,0.651,0.678,0.8,169.8,-0.984,0.177
02371200,142.5,183,106,143,15.6,108,0.474,0.481,5.5,176.0,-0.998,0.069
02371500,128.5,204,69,130,22.9,69,0.441,0.452,3.4,171.5,-0.989,0.148
02372250,123.5,199,69,125,21.4,73,0.419,0.431,3.3,172.1,-0.991,0.137
02372422,117.7,204,41,118,25.1,50,0.471,0.472,3.4,170.0,-0.985,0.174
02373000,101.7,175,50,101,21.1,51,0.413,0.408,2.5,160.7,-0.944,0.331
02373500,110.6,189,54,110,23.1,54,0.419,0.415,2.9,186.1,-0.994,-0.106
02374250,102.0,204,15,103,31.4,17,0.460,0.466,3.1,169.7,-0.984,0.179
02374500,109.0,176,56,109,22.6,58,0.442,0.442,3.4,166.7,-0.973,0.230
02374700,88.0,176,20,85,26.7,20,0.436,0.417,3.0,167.4,-0.976,0.218
02374745,79.8,138,21,80,23.0,22,0.503,0.504,3.0,170.6,-0.987,0.163
02374950,93.7,131,33,96,22.6,33,0.620,0.643,2.6,164.2,-0.962,0.272
02375500,95.0,204,10,95,32.2,13,0.438,0.438,3.0,166.9,-0.974,0.227
02376000,68.3,90,12,75,17.4,14,0.722,0.808,2.1,163.3,-0.958,0.288
02376033,91.6,204,0,92,33.8,7,0.449,0.451,2.9,166.7,-0.973,0.230
02376115,35.2,65,4,36,10.2,10,0.511,0.525,2.0,167.8,-0.977,0.211
02376293,82.8,96,55,85,6.7,56,0.677,0.732,1.1,164.1,-0.962,0.274
02376300,77.6,96,39,80,10.5,39,0.678,0.719,1.8,170.5,-0.986,0.164
02376500,64.1,100,12,65,17.5,12,0.592,0.602,2.1,170.5,-0.986,0.166
02377570,46.8,97,6,47,15.8,8,0.448,0.451,2.3,145.5,-0.825,0.566
02378170,21.8,30,8,23,4.0,8,0.626,0.682,0.5,153.0,-0.891,0.454
02378300,25.4,36,6,26,5.1,7,0.648,0.667,0.5,194.8,-0.967,-0.256
02378500,45.0,68,8,46,11.0,10,0.617,0.633,1.6,165.2,-0.967,0.255
02379500,609.8,1207,385,576,133.2,397,0.273,0.232,14.3,249.2,-0.355,-0.935
02380500,589.4,1229,370,554,138.3,374,0.255,0.214,15.0,233.6,-0.594,-0.805
02381090,579.9,1120,387,531,139.2,411,0.263,0.196,16.4,175.2,-0.996,0.084
02381600,488.3,703,402,480,53.3,403,0.287,0.259,9.9,235.1,-0.572,-0.821
02382200,416.1,861,273,404,74.2,280,0.243,0.223,9.1,245.2,-0.419,-0.908
02382500,510.4,1229,202,480,146.7,205,0.300,0.271,13.0,217.6,-0.792,-0.611
02383000,265.5,322,231,264,17.0,233,0.379,0.363,4.4,22.6,0.923,0.384
02383500,422.0,1229,185,407,168.9,201,0.227,0.213,10.6,235.3,-0.569,-0.823
02384500,420.9,1279,196,287,241.9,213,0.208,0.084,11.7,263.1,-0.120,-0.993
02384540,674.4,1128,305,645,236.1,330,0.449,0.413,21.8,301.7,0.525,-0.851
02385170,263.3,545,198,256,37.6,201,0.188,0.167,6.2,123.9,-0.558,0.830
02385500,290.4,545,212,274,57.6,225,0.235,0.186,11.4,77.9,0.209,0.978
02385800,445.1,1202,206,396,209.5,220,0.240,0.191,15.5,240.3,-0.495,-0.869
02387000,344.9,1279,192,256,194.1,208,0.141,0.059,9.3,220.6,-0.759,-0.651
02387500,378.1,1279,180,302,184.0,199,0.180,0.111,9.6,228.2,-0.666,-0.746
02387600,235.8,344,188,231,31.2,199,0.307,0.276,4.8,291.2,0.362,-0.932
02388000,299.2,480,219,286,45.3,233,0.307,0.257,8.4,134.2,-0.697,0.717
02388300,272.3,503,179,253,60.2,198,0.288,0.228,12.5,92.4,-0.041,0.999
02388320,270.2,503,179,251,60.0,211,0.281,0.222,12.3,110.8,-0.356,0.935
02388350,273.8,565,175,266,59.7,179,0.253,0.233,9.3,128.4,-0.621,0.784
02388500,348.0,1279,170,272,171.5,181,0.160,0.092,9.2,205.0,-0.906,-0.423
02388900,570.6,1141,392,524,134.9,396,0.238,0.176,14.9,137.4,-0.737,0.676
02388975,524.8,1141,328,488,135.5,343,0.242,0.197,13.1,135.4,-0.712,0.702
02389000,510.6,1141,323,475,137.5,326,0.229,0.186,12.5,137.2,-0.734,0.679
02389150,484.2,1141,315,448,136.9,327,0.205,0.161,11.3,139.7,-0.763,0.647
02390000,544.6,1031,369,502,122.2,381,0.265,0.201,12.0,139.4,-0.759,0.651
02390140,358.8,584,291,357,23.8,293,0.231,0.225,4.5,283.8,0.239,-0.971
02390475,473.8,1004,293,437,128.7,303,0.254,0.203,14.3,199.8,-0.941,-0.338
02391540,385.4,689,274,380,49.2,277,0.269,0.255,7.7,140.9,-0.776,0.631
02391840,363.2,470,269,363,30.3,269,0.469,0.468,7.6,135.4,-0.712,0.702
02391860,428.9,1141,261,397,118.9,265,0.191,0.155,9.3,159.4,-0.936,0.351
02392000,428.2,1141,261,396,118.9,264,0.190,0.153,9.3,159.0,-0.934,0.358
02392360,369.2,707,269,360,54.1,273,0.229,0.208,9.1,159.9,-0.939,0.343
02392500,323.7,389,274,324,20.1,287,0.432,0.435,4.7,207.1,-0.890,-0.455
02392780,314.9,504,257,315,24.3,262,0.235,0.235,4.9,226.5,-0.688,-0.726
02392950,314.3,542,227,312,21.6,280,0.277,0.270,4.3,71.3,0.321,0.947
02392975,312.6,542,227,311,20.6,274,0.272,0.267,4.1,45.4,0.702,0.712
02393419,316.3,457,268,315,23.2,268,0.256,0.249,4.8,333.7,0.897,-0.442
02394000,376.7,1141,212,345,108.5,212,0.177,0.143,7.7,169.0,-0.982,0.190
02395000,344.0,1141,187,322,105.1,192,0.165,0.142,7.0,165.6,-0.968,0.249
02395120,265.8,337,223,264,20.9,228,0.375,0.360,3.8,166.1,-0.971,0.240
02395980,334.8,1141,175,314,104.6,179,0.165,0.144,6.8,167.4,-0.976,0.219
02396000,333.7,1141,173,313,104.8,173,0.166,0.145,6.8,167.2,-0.975,0.222
02397000,338.5,1279,169,296,144.3,176,0.153,0.114,8.0,184.1,-0.997,-0.072
02397500,277.1,426,224,274,29.6,226,0.263,0.248,4.6,359.4,1.000,-0.011
02398000,294.6,704,184,262,95.9,197,0.213,0.150,8.1,139.2,-0.756,0.654
02398300,266.9,704,173,244,81.7,177,0.177,0.134,7.9,140.2,-0.768,0.640
02398950,559.7,684,411,565,48.6,458,0.545,0.564,4.5,209.0,-0.874,-0.485
02399200,466.1,684,179,461,78.0,179,0.568,0.558,5.9,168.1,-0.979,0.205
02400100,288.0,645,171,281,67.4,176,0.247,0.232,9.0,301.9,0.528,-0.849
02400500,316.9,1279,143,276,136.4,156,0.153,0.117,7.5,177.1,-0.999,0.050
02400680,323.1,554,235,311,55.8,243,0.276,0.238,9.5,233.0,-0.601,-0.799
02401000,284.7,554,166,279,62.0,175,0.306,0.291,9.6,164.3,-0.963,0.271
02401390,246.5,473,161,226,63.1,167,0.274,0.208,7.6,100.0,-0.174,0.985
02403310,297.0,727,187,284,78.2,188,0.204,0.180,9.9,167.0,-0.974,0.226
02403500,304.9,506,181,285,89.3,181,0.381,0.320,14.4,230.4,-0.638,-0.770
