STAID,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAXSTD_BASIN,T_MAX_SITE,T_MIN_BASIN,T_MINSTD_BASIN,T_MIN_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC
02473000,153.02,158.41,17.95,18.40,24.82,0.324,25.6,11.42,0.330,11.6,72.8,71,310.8,81.9,317,77,96.6,106,10.4,5.1,12,5,963.1,0.4,0.113,15.82,13.06,16.55,14.88,13.19,10.72,13.04,10.33,9.62,8.99,12.78,14.03,8.25,10.21,13.95,18.17,22.12,25.68,27.07,26.76,24.15,18.41,13.20,9.44
02473460,148.22,147.70,17.38,17.50,24.40,0.145,24.7,10.99,0.118,11.2,73.0,73,306.8,85.7,309,84,96.2,96,10.3,5.0,10,5,937.4,1.0,0.124,15.26,12.70,17.09,14.99,12.04,10.02,13.77,9.31,9.00,8.59,12.28,13.20,7.55,9.61,13.41,17.78,21.79,25.41,26.92,26.51,23.72,17.96,12.77,8.87
02473500,148.81,148.61,17.56,18.00,24.59,0.246,25.1,11.16,0.183,11.5,73.0,72,309.4,82.4,316,72,96.7,99,10.6,5.0,11,5,946.5,0.6,0.119,15.43,12.60,16.94,14.74,12.32,10.16,13.73,9.52,9.23,8.56,12.33,13.24,7.83,9.84,13.63,17.94,21.93,25.54,27.00,26.64,23.93,18.14,12.94,9.09
02474500,150.85,157.89,17.77,18.30,24.82,0.365,25.7,11.29,0.231,11.2,72.7,71,311.8,80.1,312,79,98.3,103,10.9,5.0,12,5,956.7,0.4,0.112,15.78,12.66,16.78,14.49,12.82,10.45,13.72,9.99,9.64,8.61,12.53,13.39,8.13,10.07,13.86,18.10,22.07,25.67,27.06,26.75,24.13,18.34,13.12,9.31
02474560,152.93,159.65,17.93,18.20,24.88,0.392,26.0,11.40,0.315,11.3,72.6,70,311.2,81.2,308,81,97.6,103,10.6,5.1,12,5,963.1,0.4,0.111,15.89,12.98,16.61,14.73,13.16,10.67,13.33,10.36,9.75,8.89,12.74,13.83,8.28,10.22,13.98,18.19,22.15,25.70,27.09,26.79,24.18,18.43,13.22,9.45
02474600,151.40,156.54,17.93,18.10,25.05,0.238,25.4,11.39,0.112,11.0,72.0,71,311.3,78.4,308,81,98.5,102,11.1,5.0,12,5,963.7,0.1,0.102,16.10,12.56,16.55,13.76,13.13,10.47,13.92,10.26,10.25,8.40,12.63,13.36,8.44,10.31,14.10,18.25,22.21,25.75,27.11,26.84,24.30,18.50,13.28,9.53
02475000,153.61,165.17,17.95,18.30,25.01,0.439,25.8,11.38,0.285,11.0,72.2,69,310.3,81.2,306,81,98.3,105,10.9,5.0,13,5,963.3,0.3,0.106,16.07,12.99,16.68,14.44,13.24,10.69,13.76,10.44,10.09,8.75,12.78,13.69,8.37,10.28,14.04,18.24,22.20,25.73,27.11,26.82,24.25,18.49,13.27,9.52
02475500,148.52,148.48,17.21,17.40,24.22,0.166,24.6,10.79,0.059,11.0,73.0,73,303.4,86.6,304,86,97.6,100,10.6,5.0,11,5,933.2,1.0,0.132,15.59,13.21,16.88,14.67,12.38,9.91,12.52,9.53,8.76,8.66,12.84,13.56,7.32,9.31,13.17,17.55,21.60,25.26,26.83,26.46,23.65,17.79,12.48,8.55
02476000,147.02,148.51,17.36,17.80,24.20,0.127,24.5,10.86,0.109,11.1,73.0,73,304.5,87.7,307,84,97.8,100,10.7,5.0,11,5,939.9,1.0,0.130,15.15,13.11,16.72,14.63,12.21,10.27,12.83,9.17,8.70,8.67,12.23,13.34,7.32,9.31,13.21,17.64,21.66,25.32,26.85,26.49,23.68,17.78,12.49,8.56
02476500,146.40,147.37,17.79,17.80,24.33,0.050,24.4,11.23,0.107,11.1,73.9,74,307.3,85.4,308,85,102.6,102,10.6,5.7,10,5,959.5,1.0,0.123,14.79,13.41,17.06,14.07,11.52,10.26,13.41,9.62,8.61,8.73,12.02,12.90,7.62,9.70,13.58,17.95,21.91,25.47,26.95,26.53,23.73,17.98,12.85,8.91
02476600,147.16,148.86,17.50,17.80,24.26,0.147,24.6,10.95,0.177,11.1,73.2,73,305.4,86.7,307,84,99.0,100,10.7,5.1,11,5,946.7,1.0,0.128,15.10,13.18,16.85,14.51,12.08,10.30,13.04,9.25,8.72,8.67,12.21,13.26,7.41,9.43,13.31,17.73,21.74,25.37,26.89,26.52,23.71,17.84,12.59,8.66
02477000,148.04,149.68,17.39,17.60,24.26,0.172,24.7,10.88,0.141,11.0,73.1,73,304.6,86.5,305,88,98.6,102,10.8,5.0,12,4,941.6,1.0,0.128,15.37,13.17,16.89,14.54,12.24,10.13,12.91,9.37,8.81,8.67,12.54,13.40,7.39,9.39,13.26,17.66,21.69,25.33,26.88,26.50,23.70,17.82,12.55,8.62
02477990,148.97,153.26,17.76,18.00,24.63,0.286,25.2,11.15,0.128,11.2,72.5,71,305.6,86.6,304,85,97.6,97,11.0,4.8,11,5,956.1,0.7,0.113,15.90,12.83,17.29,13.32,12.07,10.70,13.49,9.47,9.94,8.41,12.55,13.04,7.81,9.86,13.71,18.05,21.99,25.54,27.00,26.63,23.92,18.07,12.93,9.09
02478500,150.49,168.16,17.67,18.30,24.65,0.413,25.7,11.05,0.209,11.0,72.3,70,305.1,86.0,307,80,98.3,111,11.1,4.9,13,5,951.6,0.6,0.113,15.94,12.93,17.08,13.81,12.41,10.69,13.58,9.61,9.97,8.41,12.73,13.32,7.80,9.81,13.66,17.96,21.94,25.50,26.97,26.63,23.94,18.06,12.87,9.03
02479000,153.04,170.83,17.85,18.50,24.89,0.480,25.8,11.24,0.299,10.9,72.1,70,308.0,83.0,303,78,98.8,107,11.1,5.0,13,5,959.2,0.4,0.107,16.05,13.02,16.90,14.14,12.98,10.79,13.87,10.19,10.21,8.58,12.79,13.52,8.15,10.10,13.91,18.14,22.10,25.64,27.05,26.74,24.14,18.33,13.12,9.34
02479130,160.36,162.66,18.52,18.60,25.49,0.162,25.7,12.16,0.163,11.7,71.9,71,317.5,75.2,316,75,102.2,104,11.3,5.1,12,5,988.8,0.0,0.087,16.91,13.42,16.47,14.32,14.45,11.30,14.48,12.08,11.08,9.13,13.17,13.56,9.38,11.15,14.80,18.83,22.78,26.21,27.41,27.18,24.76,19.21,13.93,10.35
02479155,162.12,163.67,18.42,18.60,25.74,0.050,25.8,11.79,0.124,11.5,70.1,70,311.8,77.8,313,76,104.3,105,12.0,5.0,12,5,983.5,0.0,0.082,16.70,13.81,17.26,13.92,14.11,11.46,16.01,11.82,12.04,8.52,13.11,13.39,9.23,10.96,14.69,18.81,22.77,26.17,27.41,27.21,24.81,19.20,13.86,10.23
02479160,161.82,167.72,18.58,18.90,25.60,0.163,25.8,12.02,0.244,11.4,71.1,69,316.2,75.2,315,73,103.4,106,11.8,5.1,13,5,991.6,0.0,0.083,16.71,13.76,16.81,14.19,14.33,11.50,15.25,12.12,11.65,8.78,13.17,13.57,9.33,11.09,14.79,18.83,22.77,26.17,27.39,27.16,24.76,19.22,13.93,10.32
02479300,166.00,169.04,18.95,19.00,25.69,0.070,25.8,12.17,0.277,12.1,70.4,70,319.3,71.4,319,71,106.0,105,12.6,5.1,13,5,1008.8,0.0,0.074,16.15,14.58,17.19,14.06,14.39,12.19,16.59,12.92,12.84,8.19,13.13,13.77,9.55,11.31,14.98,18.97,22.84,26.15,27.36,27.12,24.79,19.45,14.19,10.60
02479310,155.41,171.95,18.05,19.50,25.04,0.528,25.6,11.38,0.429,12.9,71.8,72,309.9,81.0,331,63,99.9,101,11.3,5.0,13,5,967.9,0.3,0.099,16.15,13.24,16.95,14.10,13.30,11.02,14.34,10.68,10.70,8.55,12.88,13.51,8.38,10.30,14.09,18.28,22.23,25.73,27.11,26.81,24.26,18.51,13.30,9.55
02479431,164.13,164.17,18.17,18.20,25.35,0.097,25.5,11.54,0.136,11.3,70.0,70,310.9,80.3,312,80,105.4,104,12.2,5.0,12,5,968.8,0.0,0.076,16.51,13.80,17.57,13.48,14.12,12.58,16.65,11.88,12.82,8.09,13.24,13.46,8.74,10.65,14.42,18.51,22.42,25.83,27.11,26.88,24.46,18.73,13.60,9.87
02479500,163.73,167.12,18.35,19.30,25.39,0.169,25.8,11.49,0.197,11.1,70.4,71,313.4,78.7,324,67,103.6,105,12.3,4.9,13,5,978.3,0.0,0.074,16.70,13.78,17.49,13.18,14.21,12.39,16.43,11.95,12.90,8.04,13.41,13.32,8.72,10.66,14.41,18.52,22.44,25.80,27.10,26.86,24.46,18.76,13.60,9.89
02479560,164.07,167.41,18.43,19.30,25.41,0.176,25.8,11.49,0.201,11.3,70.5,72,314.2,77.7,325,67,103.7,104,12.4,4.9,13,5,982.4,0.0,0.073,16.67,13.78,17.50,13.19,14.27,12.41,16.51,12.07,12.99,8.05,13.42,13.28,8.73,10.67,14.43,18.53,22.44,25.81,27.11,26.87,24.47,18.77,13.61,9.90
02479945,166.50,167.29,19.02,19.30,25.43,0.087,25.6,11.86,0.210,12.0,71.4,72,322.5,69.9,326,67,105.0,105,13.0,5.0,13,5,1012.3,0.0,0.057,16.15,13.62,17.56,12.86,14.61,12.71,17.41,13.38,13.91,8.08,13.54,12.81,9.10,11.01,14.68,18.72,22.65,25.98,27.21,27.00,24.66,19.10,13.95,10.26
02479980,169.19,168.68,19.52,19.50,25.42,0.024,25.4,13.36,0.176,12.9,73.0,73,329.1,64.9,328,65,106.2,105,13.6,5.0,13,5,1042.6,0.0,0.045,15.21,13.19,17.84,12.43,15.11,12.50,17.99,15.11,15.33,8.23,14.21,12.12,10.34,12.15,15.53,19.45,23.42,26.47,27.54,27.38,25.16,20.03,14.92,11.46
02480002,169.80,169.94,19.65,19.60,25.31,0.044,25.3,13.67,0.104,13.6,73.0,73,330.7,64.0,331,64,107.1,107,14.0,5.0,14,5,1049.4,0.0,0.045,14.95,13.07,17.94,12.34,15.23,12.42,18.10,15.50,15.65,8.27,14.41,11.96,10.39,12.22,15.54,19.51,23.54,26.60,27.66,27.51,25.28,20.20,15.01,11.58
02481000,170.15,173.32,19.25,19.50,25.67,0.062,25.6,12.80,0.422,13.6,70.0,70,323.2,67.9,327,64,107.6,109,13.0,5.2,13,6,1022.3,0.0,0.058,16.45,14.31,17.36,13.42,15.12,12.72,17.16,14.65,14.50,7.92,13.01,13.52,10.07,11.84,15.34,19.24,23.07,26.24,27.42,27.20,24.94,19.74,14.68,11.19
02481510,166.06,169.45,19.09,19.50,25.63,0.078,25.4,12.81,0.461,14.1,71.3,71,323.5,67.6,329,63,105.8,105,12.5,5.0,12,5,1015.0,0.0,0.068,16.27,14.16,16.94,13.55,14.75,12.74,16.54,13.92,12.87,8.35,12.56,13.42,10.03,11.78,15.27,19.20,23.06,26.28,27.43,27.21,24.96,19.76,14.60,11.11
02481880,147.21,147.66,16.87,17.10,23.84,0.140,24.0,10.72,0.047,10.7,73.0,73,308.4,86.9,306,86,91.2,87,9.9,4.9,9,4,920.4,1.3,0.127,15.21,12.97,15.97,14.70,12.66,9.79,12.63,8.78,9.06,8.80,12.82,13.83,6.96,8.79,12.89,17.31,21.43,25.23,26.75,26.43,23.63,17.64,12.16,8.10
02482000,147.14,143.59,16.94,17.10,23.90,0.146,24.3,10.69,0.086,10.6,72.9,72,307.0,87.1,301,92,89.5,83,9.6,4.7,9,4,923.1,1.1,0.130,15.33,13.02,16.02,14.63,12.82,9.66,12.37,8.93,8.81,8.74,13.02,13.80,6.99,8.86,12.90,17.33,21.44,25.20,26.75,26.43,23.62,17.64,12.19,8.13
02482550,146.75,146.63,16.91,17.20,23.93,0.165,24.2,10.64,0.123,10.8,72.6,72,306.2,87.7,307,87,89.8,104,9.5,4.7,11,6,921.9,1.1,0.131,15.27,12.91,15.99,14.60,12.91,9.56,12.17,8.89,8.80,8.72,13.10,13.82,6.96,8.83,12.87,17.31,21.43,25.19,26.76,26.43,23.62,17.62,12.18,8.12
02483000,150.28,151.02,17.31,17.30,24.24,0.152,24.3,10.78,0.041,10.8,73.0,73,305.3,86.7,306,87,93.1,89,9.8,5.1,9,5,938.2,1.0,0.131,15.70,13.41,16.66,14.85,12.91,9.71,12.64,9.64,8.70,8.80,13.24,14.04,7.27,9.31,13.12,17.57,21.63,25.31,26.84,26.48,23.72,17.85,12.49,8.51
02483500,147.79,146.75,17.05,17.30,24.03,0.221,24.2,10.67,0.125,10.8,72.7,73,306.0,87.4,306,87,91.1,93,9.6,4.9,10,5,927.5,1.1,0.131,15.40,13.04,16.16,14.70,12.96,9.57,12.25,9.11,8.76,8.76,13.18,13.92,7.04,8.97,12.95,17.40,21.50,25.23,26.80,26.45,23.66,17.69,12.27,8.24
02484000,146.12,145.00,16.51,16.60,23.76,0.092,24.0,10.43,0.101,10.6,71.3,71,305.0,89.5,307,84,90.2,95,9.2,5.0,10,5,905.2,1.4,0.124,14.88,12.23,15.95,14.26,13.07,10.44,11.58,8.56,9.15,8.84,13.02,14.15,6.70,8.48,12.63,17.12,21.28,25.12,26.69,26.34,23.52,17.48,11.92,7.82
02484500,145.66,145.57,16.65,17.20,23.86,0.158,24.2,10.47,0.115,10.7,71.5,72,305.2,88.5,306,87,89.3,84,9.3,4.9,9,5,911.7,1.3,0.128,14.95,12.35,15.88,14.30,13.04,9.94,11.52,8.60,8.94,8.79,13.20,14.15,6.75,8.59,12.71,17.21,21.37,25.17,26.76,26.39,23.57,17.52,12.01,7.93
02485574,146.77,145.98,17.84,17.90,24.59,0.026,24.5,11.35,0.038,11.4,73.0,73,306.1,84.8,307,84,95.8,97,9.5,5.0,10,5,970.8,1.0,0.123,14.90,12.19,15.43,14.97,13.20,10.18,11.66,9.42,8.64,8.54,13.08,14.44,7.68,9.75,13.73,18.05,22.12,25.74,27.24,26.87,24.08,18.21,13.04,9.11
02485700,146.64,145.68,17.84,17.90,24.57,0.030,24.6,11.44,0.045,11.5,73.9,74,307.4,84.0,307,84,95.2,98,9.3,5.0,10,5,970.3,1.0,0.129,15.02,12.34,15.51,14.95,13.29,10.24,11.36,9.15,8.51,8.70,13.10,14.41,7.70,9.78,13.78,18.05,22.14,25.78,27.28,26.93,24.13,18.27,13.05,9.12
02486000,147.52,146.99,17.13,17.80,24.11,0.294,24.6,10.74,0.258,11.5,72.6,74,305.8,87.0,308,83,90.4,99,9.5,4.8,10,5,932.3,1.1,0.131,15.30,12.83,16.08,14.68,13.01,9.71,12.06,9.03,8.76,8.74,13.21,14.12,7.09,9.04,13.04,17.49,21.60,25.30,26.87,26.51,23.72,17.76,12.35,8.33
02487500,152.87,153.55,17.62,17.40,24.61,0.069,24.7,11.14,0.142,11.2,73.0,73,304.2,85.8,300,86,95.1,96,10.0,5.1,10,5,950.3,1.0,0.119,15.41,13.39,16.29,15.27,12.64,10.51,12.88,10.18,9.08,9.11,13.27,14.85,7.73,9.82,13.62,17.96,21.97,25.53,27.01,26.67,23.98,18.20,12.93,9.07
02488000,148.94,158.87,17.31,17.90,24.31,0.391,25.2,10.94,0.393,11.5,72.8,73,305.8,86.3,307,82,91.6,84,9.6,4.9,9,4,939.6,1.1,0.128,15.31,12.95,16.07,14.87,13.09,10.02,12.14,9.35,8.84,8.80,13.15,14.34,7.37,9.35,13.30,17.68,21.76,25.43,26.95,26.61,23.85,17.96,12.58,8.63
02488500,149.65,158.02,17.37,17.90,24.38,0.445,25.4,11.01,0.447,11.6,72.8,72,306.2,85.7,309,81,91.8,100,9.6,4.9,11,5,941.9,1.0,0.128,15.38,13.04,16.10,14.95,13.22,10.12,12.15,9.48,8.88,8.83,13.11,14.39,7.49,9.46,13.40,17.74,21.82,25.48,26.98,26.64,23.91,18.03,12.66,8.73
02488700,152.77,156.25,18.03,18.10,25.06,0.192,25.5,11.90,0.103,12.1,72.7,72,310.7,81.0,310,80,97.6,100,10.5,5.0,11,5,964.5,0.1,0.126,15.80,12.91,16.88,15.93,13.11,10.37,11.71,9.78,9.83,9.74,12.43,14.27,8.80,10.71,14.43,18.48,22.41,25.92,27.18,26.95,24.42,18.84,13.60,9.92
02489000,150.48,160.55,17.46,18.60,24.49,0.509,25.8,11.14,0.534,12.4,72.7,71,306.8,85.1,312,79,92.8,110,9.8,4.9,13,5,945.5,0.9,0.126,15.47,13.09,16.18,15.02,13.30,10.24,12.20,9.63,9.01,8.90,13.04,14.39,7.68,9.65,13.54,17.85,21.91,25.55,27.01,26.69,23.99,18.15,12.79,8.90
02489500,152.02,164.17,17.63,19.20,24.63,0.606,25.9,11.30,0.649,12.8,72.6,72,308.0,83.8,321,67,94.7,109,10.1,4.9,13,5,952.7,0.8,0.120,15.60,13.18,16.22,14.95,13.45,10.52,12.55,10.01,9.29,8.93,13.01,14.31,7.93,9.87,13.73,18.00,22.04,25.64,27.07,26.76,24.10,18.31,12.97,9.13
02490105,165.70,164.31,18.88,19.20,25.61,0.092,25.8,12.57,0.096,12.8,72.0,72,317.2,73.4,320,67,111.1,110,13.0,5.7,13,5,1004.2,0.0,0.074,16.15,14.12,16.68,14.43,14.27,13.90,15.11,13.72,11.80,9.04,12.90,13.59,9.80,11.55,15.11,19.11,23.01,26.31,27.44,27.20,24.87,19.54,14.35,10.87
02490500,160.83,165.20,18.26,18.70,25.19,0.071,25.4,12.08,0.074,12.3,73.0,72,314.4,78.5,315,80,99.8,99,11.1,5.0,11,5,975.3,0.0,0.108,16.69,14.17,16.32,15.48,14.50,11.57,13.24,11.89,10.34,8.98,12.66,14.99,9.15,10.95,14.65,18.58,22.52,25.99,27.17,26.99,24.52,19.07,13.78,10.15
02492000,163.71,165.37,18.59,19.30,25.35,0.198,25.8,12.26,0.215,13.0,72.5,72,315.3,78.3,321,69,101.0,105,11.6,5.0,12,5,989.7,0.0,0.091,16.65,14.10,16.44,15.14,14.45,12.61,14.31,12.78,10.90,9.12,12.71,14.51,9.40,11.20,14.83,18.80,22.70,26.08,27.25,27.03,24.64,19.22,14.02,10.47
02492343,164.84,165.72,19.09,19.20,25.72,0.058,25.8,12.72,0.179,13.1,72.0,72,324.0,66.7,322,67,106.2,101,12.6,5.0,12,5,1014.5,0.0,0.071,15.90,14.22,16.73,13.69,14.72,12.65,16.75,13.68,12.23,8.50,12.56,13.20,10.09,11.80,15.30,19.20,23.09,26.32,27.44,27.22,24.99,19.76,14.57,11.13
02492360,163.95,164.99,19.06,19.10,25.70,0.098,25.8,12.63,0.136,12.9,72.0,72,323.6,67.2,322,67,107.4,104,12.7,5.0,12,5,1014.9,0.0,0.076,15.89,14.20,16.67,13.94,14.70,12.64,16.31,13.32,11.75,8.72,12.60,13.23,9.95,11.67,15.20,19.16,23.07,26.35,27.46,27.24,24.97,19.70,14.45,10.98
03007800,106.16,103.41,7.02,7.00,13.05,0.352,14.0,1.18,0.162,1.0,66.9,66,259.0,150.6,258,153,150.0,153,15.8,10.8,16,11,561.0,27.8,0.120,6.87,5.87,7.73,8.30,8.96,12.97,10.40,9.76,10.61,8.48,8.79,7.47,-5.69,-4.92,0.02,6.53,12.40,16.91,19.00,18.29,14.51,8.84,2.66,-3.50
03010500,110.53,104.07,6.98,6.80,13.05,0.441,14.1,1.08,0.203,0.9,66.8,67,256.9,152.9,259,152,153.8,153,16.4,10.9,16,11,559.0,27.7,0.109,7.36,6.08,8.22,8.53,9.30,13.47,10.66,10.10,10.79,8.45,9.11,8.42,-5.75,-4.98,0.00,6.50,12.33,16.85,18.99,18.24,14.48,8.77,2.72,-3.43
03010655,105.50,103.43,6.93,6.70,13.10,0.294,13.8,1.22,0.210,0.8,67.0,67,259.5,150.2,261,150,147.1,148,15.4,10.9,16,11,558.3,27.9,0.132,6.60,5.53,7.50,8.30,8.94,13.06,10.40,9.68,10.88,8.71,8.57,7.27,-5.63,-4.89,0.09,6.54,12.45,16.95,19.05,18.31,14.57,8.90,2.71,-3.44
03011020,109.68,114.23,6.72,6.90,13.04,0.455,14.2,1.01,0.216,0.6,66.8,67,259.6,151.0,266,148,153.6,155,16.4,10.9,17,11,551.9,27.8,0.114,7.11,5.85,8.05,8.53,9.32,13.22,10.55,10.06,10.92,8.68,9.10,8.30,-5.81,-5.10,-0.12,6.37,12.23,16.85,19.02,18.23,14.50,8.77,2.74,-3.40
03011800,120.46,118.54,6.66,6.50,12.37,0.277,13.2,1.00,0.124,0.7,67.3,67,256.2,154.5,259,152,159.1,160,17.9,10.7,18,11,547.8,28.9,0.080,8.45,7.06,9.75,9.11,10.19,14.23,10.97,10.87,11.21,8.50,9.82,10.28,-6.18,-5.32,-0.26,6.27,11.98,16.43,18.66,17.88,14.13,8.39,2.56,-3.68
03012550,111.68,115.98,6.76,7.20,13.01,0.490,14.2,0.99,0.214,1.6,67.0,68,260.9,150.4,270,145,155.1,157,16.8,10.9,18,11,553.4,28.0,0.107,7.36,6.04,8.27,8.68,9.45,13.24,10.62,10.25,11.01,8.81,9.35,8.66,-5.83,-5.13,-0.15,6.35,12.19,16.83,19.00,18.22,14.49,8.75,2.75,-3.39
03012600,111.76,114.94,6.77,7.90,13.01,0.492,14.6,0.99,0.216,2.1,67.0,68,261.2,150.2,279,138,155.1,159,16.8,10.9,18,11,554.0,28.0,0.107,7.36,6.04,8.27,8.69,9.46,13.24,10.62,10.26,11.01,8.81,9.36,8.67,-5.82,-5.12,-0.15,6.36,12.19,16.83,19.01,18.22,14.49,8.75,2.76,-3.39
03013000,116.46,115.13,7.63,7.40,13.37,0.389,13.8,1.34,0.422,1.6,68.0,67,274.2,140.0,271,144,159.0,158,18.0,10.3,18,10,588.0,28.1,0.091,8.01,6.39,8.32,8.98,9.18,11.90,10.86,10.86,11.74,9.81,10.60,9.98,-5.53,-5.02,-0.19,6.39,12.30,17.28,19.63,18.74,15.06,9.27,3.24,-2.87
03014500,118.02,115.57,7.91,7.20,13.54,0.245,13.9,1.63,0.466,1.7,69.2,67,281.5,136.7,271,146,160.9,161,18.4,10.0,18,10,598.8,26.3,0.108,7.65,6.51,8.15,8.94,9.49,12.27,10.97,11.45,12.09,10.55,10.56,9.56,-5.25,-4.77,0.05,6.42,12.39,17.42,19.80,18.94,15.37,9.49,3.50,-2.60
03015000,117.45,112.43,7.68,7.90,13.46,0.340,14.3,1.45,0.477,1.6,68.4,68,276.8,139.5,278,138,160.7,160,18.3,10.2,18,11,589.7,27.3,0.097,7.91,6.47,8.28,9.08,9.37,12.17,10.98,11.19,11.79,10.02,10.56,9.80,-5.39,-4.90,-0.06,6.42,12.35,17.33,19.69,18.82,15.20,9.35,3.33,-2.77
03015310,113.33,114.62,7.04,8.30,13.14,0.502,14.8,1.11,0.367,2.3,67.4,68,265.7,147.1,282,134,156.7,161,17.2,10.7,18,11,564.5,27.8,0.102,7.52,6.16,8.28,8.81,9.44,12.95,10.72,10.53,11.21,9.13,9.69,8.99,-5.70,-5.06,-0.12,6.38,12.24,16.97,19.20,18.39,14.69,8.91,2.92,-3.22
03015500,115.41,111.54,7.93,8.00,13.78,0.350,14.5,1.41,0.336,2.1,69.0,69,276.6,142.4,278,139,161.5,158,18.4,10.0,18,10,595.1,24.7,0.112,6.95,6.21,8.47,8.81,9.45,12.70,10.96,11.38,11.51,9.69,9.98,9.38,-5.33,-4.76,0.09,6.75,12.49,17.43,19.62,18.74,15.14,9.26,3.16,-2.88
03016000,113.49,112.06,7.16,7.80,13.22,0.530,14.6,1.16,0.384,2.1,67.6,68,267.3,146.3,278,140,157.0,151,17.3,10.7,16,10,568.8,27.4,0.103,7.45,6.15,8.30,8.84,9.45,12.92,10.74,10.62,11.22,9.16,9.71,9.01,-5.65,-5.01,-0.08,6.44,12.28,17.04,19.26,18.44,14.75,8.96,2.96,-3.17
03017500,115.15,113.28,7.23,7.50,13.15,0.415,13.6,1.00,0.386,1.6,68.3,68,268.3,145.4,269,144,154.0,148,17.9,10.3,18,10,570.7,27.9,0.090,8.00,6.30,8.69,9.33,9.73,12.84,10.85,10.79,10.92,8.57,9.94,9.26,-5.73,-5.04,-0.08,6.48,12.21,16.91,19.08,18.27,14.54,8.71,2.86,-3.28
03020000,114.90,111.91,7.39,7.80,13.37,0.473,14.1,1.38,0.476,2.0,68.5,68,271.1,143.6,280,139,151.8,153,17.1,10.2,16,11,576.0,26.8,0.096,7.79,6.32,8.71,9.39,9.73,12.89,11.09,10.77,10.93,8.46,9.85,9.01,-5.51,-4.78,0.21,6.74,12.48,17.20,19.39,18.57,14.83,8.94,3.08,-3.05
03020500,115.03,112.89,7.74,8.00,13.83,0.284,15.0,1.40,0.320,2.3,68.7,68,274.2,142.2,276,139,157.7,151,17.2,10.6,16,10,588.0,23.8,0.107,7.00,6.32,8.57,9.21,9.97,12.56,10.85,11.03,11.47,9.20,9.88,8.97,-5.28,-4.62,0.29,6.85,12.62,17.56,19.78,18.91,15.25,9.33,3.27,-2.79
03021350,119.27,117.64,8.17,8.10,13.78,0.293,14.2,1.54,0.300,2.0,69.4,69,281.7,138.2,279,141,161.9,161,18.7,10.0,18,10,608.1,25.8,0.108,7.70,6.79,8.25,8.68,9.58,12.40,10.91,11.68,12.21,10.92,10.50,9.71,-5.26,-4.62,0.21,6.58,12.36,17.49,19.83,18.91,15.33,9.57,3.49,-2.57
03021500,118.69,116.85,8.25,8.30,13.80,0.287,14.3,1.94,0.498,2.1,69.6,70,283.1,136.9,282,137,160.5,158,18.3,10.0,18,10,611.3,25.3,0.104,7.71,6.77,8.33,8.75,9.56,12.20,10.78,11.39,12.25,10.87,10.44,9.73,-5.06,-4.44,0.35,6.66,12.46,17.63,19.99,19.10,15.54,9.76,3.72,-2.32
03021520,118.57,116.47,8.26,8.20,13.83,0.297,14.4,1.93,0.484,2.1,69.6,69,283.0,136.8,281,137,160.4,158,18.3,10.0,18,10,611.3,25.3,0.102,7.72,6.78,8.36,8.75,9.56,12.18,10.76,11.35,12.19,10.81,10.42,9.76,-5.05,-4.43,0.36,6.69,12.48,17.64,20.00,19.10,15.55,9.76,3.72,-2.32
03022540,114.25,113.64,7.98,8.00,14.13,0.202,14.5,1.68,0.261,2.3,69.2,69,280.3,137.4,282,136,155.1,154,17.0,10.3,17,10,594.0,24.0,0.103,7.09,6.39,8.42,9.15,9.81,12.13,11.15,10.84,11.37,8.96,9.79,9.14,-4.97,-4.17,0.71,7.08,12.95,17.84,20.13,19.26,15.61,9.64,3.57,-2.49
03022554,114.09,113.81,7.99,8.00,14.21,0.221,14.6,1.84,0.331,2.5,69.2,69,281.1,136.9,283,135,154.5,153,17.0,10.2,17,10,594.4,24.0,0.102,7.12,6.43,8.41,9.04,9.68,12.03,11.16,10.87,11.31,8.99,9.82,9.22,-4.86,-4.08,0.83,7.16,13.05,17.95,20.25,19.37,15.72,9.74,3.67,-2.38
