STAID,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,REACHCODE,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER
03277075,0.54,3,1.61,05090203000031,1.93,0.00,1.49,17.0,4.2,9.6,12.27,742.1,407.4,29.1,42.7,70.0,60.0,47.3,28.2,17.6,10.5,8.0,6.5,14.7,23.7,358.3,70.66,22.05,7.29,0.00,0.00,0.00,0.00
03277130,0.56,3,1.68,05090203000019,0.00,0.00,1.85,15.0,4.2,10.7,12.75,892.1,408.6,29.9,43.7,68.9,59.8,46.7,28.0,17.0,10.2,8.0,6.9,14.7,24.6,358.4,65.08,25.25,9.67,0.00,0.00,0.00,0.00
03277300,0.80,4,1.76,05100201000123,0.00,0.00,0.18,34.3,2.5,3.6,11.94,16.1,463.2,54.7,65.7,77.6,62.4,49.7,31.4,21.6,13.8,11.5,13.5,27.1,44.5,473.4,57.99,23.03,7.15,11.83,0.00,0.00,0.00
03277450,0.83,3,1.49,05100201000169,0.00,0.00,1.41,31.3,2.7,3.8,11.85,12.0,462.9,47.4,58.2,71.1,56.4,43.3,27.0,17.7,11.0,8.3,9.9,21.2,37.1,408.6,64.06,21.85,11.56,0.00,0.00,0.00,2.54
03277500,0.78,5,2.10,05100201000077,0.00,0.00,0.32,32.9,2.6,3.9,11.47,14.0,463.6,54.2,65.0,77.5,61.2,47.3,29.5,19.7,12.9,9.9,11.9,25.4,43.4,457.9,57.48,19.14,13.46,7.93,1.52,0.00,0.46
03278500,0.88,5,1.85,05100201000206,0.00,0.00,0.19,29.3,2.2,3.3,12.17,12.3,462.9,50.1,62.0,77.2,61.8,45.0,28.9,18.9,11.8,9.0,11.0,23.5,40.6,439.6,61.83,14.87,18.19,5.01,0.11,0.00,0.00
03280000,0.86,6,2.48,05100201000031,0.00,0.00,0.24,30.3,2.4,4.0,11.58,14.0,463.3,53.0,64.6,78.4,61.8,46.3,29.3,19.5,12.5,9.7,11.5,24.2,42.7,453.4,59.18,17.09,12.35,5.88,4.65,0.55,0.30
03280600,0.82,5,1.59,05100202000064,0.08,0.00,0.18,33.4,2.4,4.0,11.31,11.8,520.9,67.1,78.0,92.5,74.1,56.8,35.7,24.5,16.1,13.1,16.7,35.2,57.0,566.9,61.21,16.63,13.23,5.84,3.09,0.00,0.00
03280700,0.88,4,1.37,05100202000127,0.00,0.00,0.07,32.2,2.1,4.0,10.96,11.9,519.4,64.3,74.0,86.9,70.2,53.2,34.2,23.1,15.5,12.7,16.4,32.8,53.2,536.4,59.29,16.50,20.40,3.80,0.00,0.00,0.00
03280900,0.89,5,2.01,05100202000039,2.62,21.48,0.61,31.6,2.4,4.0,11.23,12.6,520.1,63.3,74.2,89.0,71.1,54.2,34.5,23.6,15.4,12.4,15.6,32.0,53.2,538.7,59.83,16.83,11.52,4.88,6.94,0.00,0.00
03281000,0.90,5,2.11,05100202000007,2.03,13.77,0.48,30.7,2.5,3.9,11.37,13.7,520.0,61.0,72.4,87.2,69.3,52.5,33.2,22.7,14.6,11.7,14.5,29.9,50.9,520.0,60.20,16.44,9.70,3.79,9.81,0.00,0.06
03281040,0.85,4,1.49,05100203000145,0.05,0.00,0.04,31.7,2.9,3.5,11.26,15.8,531.4,63.2,74.2,89.7,72.3,56.1,35.6,25.4,16.2,12.7,15.6,33.5,55.1,549.6,63.61,20.18,7.79,8.41,0.00,0.00,0.00
03281100,0.88,4,1.44,05100203000088,0.00,0.00,0.06,30.8,3.0,3.0,11.93,17.3,532.9,65.2,75.9,89.7,72.5,56.3,36.1,27.1,16.3,12.7,15.4,35.2,57.6,560.0,65.79,17.13,11.77,5.30,0.00,0.00,0.00
03281500,0.89,5,2.13,05100203000009,0.01,0.00,0.08,29.4,2.8,3.3,11.85,18.5,531.8,60.5,71.8,87.0,70.0,53.8,34.2,25.0,15.5,12.0,14.1,30.9,52.7,527.3,62.08,17.34,8.64,6.72,5.22,0.00,0.00
03282000,0.88,6,2.55,05100204000113,0.77,5.62,0.24,29.7,2.5,4.0,11.70,16.3,494.8,56.6,68.4,82.9,65.9,49.8,31.5,21.7,13.8,10.8,12.8,27.0,47.3,488.5,60.36,16.79,10.28,4.98,5.81,1.61,0.16
03282040,0.84,4,1.91,05100204000080,0.00,0.00,0.22,27.1,3.0,4.9,11.74,49.7,510.0,54.7,67.5,89.2,73.2,54.2,33.1,22.8,14.2,12.0,13.3,28.0,50.8,512.9,62.37,16.33,17.86,3.45,0.00,0.00,0.00
03282060,0.88,6,2.52,05100204000072,0.98,10.53,0.24,29.6,2.6,4.0,11.71,17.5,495.5,56.5,68.4,83.2,66.1,49.9,31.5,21.7,13.8,10.9,12.8,27.0,47.4,489.1,60.36,16.70,10.34,5.10,5.55,1.77,0.18
03282120,0.88,6,2.51,05100204000952,1.46,18.98,0.23,29.5,2.5,4.2,11.71,18.4,496.1,56.3,68.2,83.2,66.2,49.9,31.5,21.6,13.7,10.9,12.7,26.8,47.3,488.2,60.16,16.82,10.27,5.07,5.35,2.16,0.17
03282290,0.85,6,2.42,05100204000003,1.87,26.38,0.24,29.1,2.6,4.7,11.77,28.4,497.4,55.8,67.7,83.4,66.7,50.3,31.6,21.7,13.8,11.0,12.7,26.8,47.3,488.7,59.97,16.82,10.31,5.22,4.97,2.47,0.24
03282500,0.84,4,1.49,05100204000274,0.00,0.00,0.10,26.3,2.5,6.8,12.50,28.4,507.5,52.0,65.3,79.8,62.2,46.6,28.9,20.6,12.7,10.4,11.0,22.0,43.6,455.0,58.67,22.44,13.78,5.10,0.00,0.00,0.00
03283500,0.91,5,1.91,05100204000174,0.39,0.00,0.16,25.7,2.4,7.7,12.25,49.1,508.1,54.0,66.3,83.1,66.2,51.1,31.4,22.0,14.5,11.9,11.3,23.7,47.2,482.7,61.78,16.39,10.32,5.95,5.33,0.00,0.22
03284000,0.84,6,2.40,05100205000175,2.12,33.89,0.25,28.5,2.6,5.7,11.97,51.7,500.2,54.6,66.8,82.7,66.2,50.0,31.4,21.5,13.8,11.1,12.1,25.6,46.3,482.0,59.84,17.22,10.17,4.92,5.07,2.51,0.28
03284230,0.83,6,2.43,05100205000163,2.46,38.72,0.27,28.4,2.6,5.8,11.99,56.0,501.0,54.3,66.5,82.5,66.0,49.9,31.3,21.4,13.7,11.1,12.0,25.3,46.0,480.0,59.76,17.40,9.92,4.80,4.94,2.80,0.37
03284500,0.80,6,2.48,05100205000126,2.74,42.60,0.29,28.1,2.6,6.1,12.04,67.0,502.5,53.8,66.1,82.3,66.1,49.9,31.4,21.4,13.8,11.2,11.9,25.0,45.7,478.7,59.54,17.25,10.55,4.59,4.73,2.99,0.36
03284520,0.57,1,1.47,05100205000227,0.00,0.00,1.13,26.0,3.0,13.0,11.31,604.0,522.0,45.0,58.0,78.0,63.0,48.0,31.0,20.0,13.0,11.0,8.0,17.0,37.0,429.0,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03284530,0.30,2,1.28,05100205000223,35.93,29.17,3.50,25.9,2.7,12.3,12.65,534.0,522.0,44.9,58.3,78.5,62.7,48.5,30.7,20.0,13.3,11.0,8.6,17.5,37.5,431.5,56.82,43.18,0.00,0.00,0.00,0.00,0.00
03284555,0.31,2,1.25,05100205000228,0.00,0.00,1.65,25.8,2.8,6.7,12.54,405.4,522.0,44.3,58.2,79.0,63.0,49.0,31.5,20.6,13.8,11.0,8.3,17.9,38.4,434.9,67.47,32.53,0.00,0.00,0.00,0.00,0.00
03285000,0.71,5,1.98,05100205000067,0.16,0.00,0.78,22.0,3.0,10.2,12.27,233.6,522.7,56.2,68.9,87.1,71.2,53.8,34.2,22.6,14.3,13.3,11.8,27.4,49.2,510.0,57.49,15.96,13.54,5.20,7.81,0.00,0.00
03286500,0.78,6,2.49,05100205000060,3.48,46.94,0.43,27.5,2.6,6.5,12.08,87.1,504.9,53.6,66.0,82.6,66.4,50.2,31.6,21.5,13.8,11.3,11.7,24.9,45.6,479.3,58.98,17.14,10.74,4.46,5.28,3.07,0.32
03287000,0.77,6,2.50,05100205000059,3.78,50.32,0.44,27.4,2.6,6.6,12.07,87.9,505.1,53.5,66.0,82.6,66.4,50.2,31.6,21.5,13.8,11.3,11.7,24.8,45.5,478.8,58.87,17.10,10.66,4.43,5.24,3.38,0.32
03287250,0.77,6,2.53,05100205000054,3.95,52.48,0.44,27.3,2.7,6.6,12.08,93.5,505.5,53.3,65.8,82.5,66.3,50.2,31.6,21.4,13.8,11.3,11.6,24.6,45.4,477.9,58.87,17.10,10.64,4.36,5.16,3.55,0.32
03287500,0.76,6,2.52,05100205000053,4.18,54.66,0.44,27.2,2.7,6.5,12.08,97.8,505.7,53.2,65.6,82.5,66.2,50.2,31.6,21.4,13.7,11.3,11.5,24.5,45.3,477.0,58.83,17.10,10.54,4.32,5.12,3.77,0.31
03287580,0.43,1,1.09,05100205000286,23.39,23.39,2.42,26.0,2.6,12.3,12.42,604.0,522.0,45.0,58.0,78.0,63.0,48.0,31.0,20.0,13.0,11.0,8.0,17.0,37.0,428.9,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03287600,0.38,2,1.33,05100205000284,2.69,5.92,0.68,25.9,2.1,11.2,12.61,683.2,522.0,44.3,58.0,78.3,62.5,48.1,30.6,19.9,13.0,10.3,8.0,17.1,37.1,427.2,85.26,14.74,0.00,0.00,0.00,0.00,0.00
03288000,0.43,3,2.25,05100205000279,0.56,1.04,0.73,24.6,2.6,9.4,12.80,590.3,521.1,43.2,56.9,78.2,62.5,47.9,29.9,18.9,12.2,9.8,7.6,16.8,36.4,420.1,54.19,16.30,29.51,0.00,0.00,0.00,0.00
03288100,0.45,3,2.39,05100205000277,0.43,0.86,0.77,24.3,2.6,9.6,12.81,611.2,521.3,42.5,56.2,77.9,62.3,47.6,29.6,18.6,11.9,9.5,7.5,16.5,35.9,416.1,54.68,15.55,29.77,0.00,0.00,0.00,0.00
03288200,0.31,1,1.23,05100205000275,0.00,0.00,0.62,24.1,2.9,5.8,12.80,520.8,522.0,42.6,56.5,78.2,62.3,48.1,30.4,19.4,12.5,9.9,7.5,16.5,36.4,420.2,73.40,0.00,0.00,0.00,0.00,0.00,26.60
03288500,0.53,1,1.14,05100205000452,0.00,0.00,0.03,25.9,3.0,5.0,11.70,372.0,522.0,43.0,57.0,79.0,63.0,50.0,32.0,21.0,14.0,11.0,8.0,17.0,38.0,433.0,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03289000,0.41,2,1.42,05100205000264,0.00,0.00,0.48,25.8,3.0,5.0,12.87,220.0,522.0,43.7,57.5,79.5,62.9,49.9,32.0,21.6,14.0,11.0,8.0,17.7,39.3,437.1,63.59,36.41,0.00,0.00,0.00,0.00,0.00
03289193,0.21,1,1.16,05100205000596,0.00,0.00,0.10,25.5,3.0,5.0,12.98,375.5,522.0,43.3,56.8,78.8,62.6,49.1,31.8,21.0,13.8,10.8,7.8,16.8,37.6,430.2,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03289200,0.29,2,1.38,05100205000594,0.00,0.00,0.32,25.2,3.0,5.2,12.95,390.9,522.0,42.8,56.4,78.3,62.1,48.7,31.3,20.5,13.3,10.3,7.6,16.6,36.9,424.9,68.15,31.85,0.00,0.00,0.00,0.00,0.00
03289300,0.40,3,2.00,05100205000261,0.27,0.00,0.48,25.4,3.0,5.6,12.88,328.4,522.0,43.1,56.5,78.6,62.2,49.3,31.7,21.1,13.6,10.5,7.6,17.0,37.9,429.1,44.41,29.16,20.37,0.00,0.00,0.00,6.05
03289500,0.43,4,2.80,05100205000252,0.40,0.43,0.72,24.1,2.8,7.7,12.82,502.8,521.8,42.0,55.5,77.6,62.0,47.8,30.1,19.2,12.2,9.7,7.3,16.7,36.0,416.2,47.44,15.49,32.73,2.29,0.00,0.00,2.05
03290000,0.41,2,1.23,05100205000483,0.00,0.00,0.37,16.9,2.0,15.0,12.35,453.0,522.0,42.0,56.0,79.4,63.9,49.4,30.4,20.0,12.0,11.0,8.0,20.0,38.0,430.1,89.66,10.34,0.00,0.00,0.00,0.00,0.00
03290500,0.72,6,2.54,05100205000020,4.35,58.79,0.46,26.5,2.7,7.1,12.16,154.5,508.0,51.5,64.1,81.9,65.8,49.9,31.4,21.1,13.5,11.1,10.9,23.6,44.0,468.9,57.98,17.36,11.47,4.26,4.64,3.91,0.39
03291000,0.53,2,2.16,05100205000407,0.00,0.00,0.41,21.0,3.4,13.4,13.41,1543.4,520.5,39.5,53.4,77.6,63.1,47.9,29.4,18.0,11.0,9.0,7.2,16.0,33.8,405.9,61.66,38.34,0.00,0.00,0.00,0.00,0.00
03291500,0.64,4,2.44,05100205000343,0.83,0.00,0.53,18.6,3.6,12.0,12.62,1062.0,521.3,36.0,49.8,75.1,63.4,48.8,30.1,18.4,11.1,9.0,8.1,16.7,31.2,397.6,53.91,28.62,8.71,7.88,0.00,0.00,0.88
03291780,0.53,2,1.46,05140101000085,0.00,0.00,0.25,15.7,2.2,10.2,12.02,376.7,434.0,34.7,48.6,76.3,67.1,53.1,32.5,19.8,12.0,10.0,8.0,20.0,31.5,413.6,63.81,36.19,0.00,0.00,0.00,0.00,0.00
03292460,0.42,2,1.42,05140101000025,3.92,0.00,1.72,17.7,2.1,10.4,12.40,492.7,435.3,41.0,57.1,81.7,69.5,54.7,34.7,21.0,13.0,10.0,8.0,22.3,36.3,449.4,62.12,37.88,0.00,0.00,0.00,0.00,0.00
03292470,0.55,3,1.59,05140101000020,3.21,0.00,1.42,18.3,2.0,8.1,12.61,358.4,435.6,41.2,56.5,78.5,66.8,52.4,33.2,20.6,12.6,9.6,7.6,20.7,35.5,435.3,58.64,18.85,22.50,0.00,0.00,0.00,0.00
03292474,0.41,1,1.19,05140101000014,4.41,4.41,0.60,20.9,2.0,6.0,12.38,412.0,435.6,42.0,55.0,73.8,62.7,48.0,29.4,19.7,11.4,9.9,7.7,18.6,34.6,412.9,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03292475,0.48,1,1.53,05140101000014,2.38,2.38,0.49,21.4,2.0,6.0,12.13,429.4,435.6,41.7,54.7,73.3,62.2,48.0,29.0,19.5,11.3,9.6,7.5,18.2,34.2,409.3,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03292480,0.62,1,1.37,05140101000470,0.00,0.00,0.58,21.1,2.0,5.8,12.24,403.5,435.0,41.8,54.8,73.6,62.6,48.0,29.5,19.8,11.7,9.8,7.8,18.6,34.6,412.5,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03292500,0.34,2,1.33,05140101000472,0.00,0.00,0.25,22.8,2.0,6.0,12.94,599.0,438.5,40.2,53.6,72.6,61.0,47.2,28.0,18.2,10.8,8.8,6.2,15.1,30.4,392.2,72.64,27.36,0.00,0.00,0.00,0.00,0.00
03292550,0.34,2,1.44,05140101000472,0.00,0.00,0.21,23.0,2.1,5.9,12.67,703.0,437.7,39.7,53.2,72.2,60.7,47.1,27.7,18.1,10.6,8.6,6.1,14.5,29.8,388.6,55.20,44.80,0.00,0.00,0.00,0.00,0.00
03293000,0.50,2,1.21,05140101000475,0.00,0.00,0.40,21.9,2.5,6.0,12.44,575.1,436.7,41.2,54.3,72.9,61.7,47.6,28.6,18.9,11.0,9.4,6.9,16.8,32.7,402.1,55.04,44.96,0.00,0.00,0.00,0.00,0.00
03293500,0.48,2,1.35,05140101000475,0.00,0.00,0.52,22.4,2.3,6.0,12.77,705.4,436.0,40.6,53.9,72.5,61.3,47.5,28.2,18.7,10.8,9.1,6.7,16.0,31.7,397.1,42.74,57.26,0.00,0.00,0.00,0.00,0.00
03293510,0.43,3,1.53,05140101000175,0.09,0.27,0.35,22.8,2.2,5.9,12.68,774.3,436.4,40.0,53.4,72.1,60.8,47.1,27.8,18.3,10.6,8.7,6.4,15.0,30.5,390.9,50.56,45.96,3.48,0.00,0.00,0.00,0.00
03293530,0.43,1,1.43,05140101000176,0.00,0.00,0.21,23.1,2.0,6.0,12.07,1012.8,435.0,39.7,52.9,71.5,60.6,47.0,27.6,18.5,10.6,8.5,6.5,14.7,30.2,388.4,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03294000,0.57,4,1.60,05140101000094,1.56,0.00,0.79,21.6,2.7,6.5,12.72,538.2,436.2,38.2,52.1,74.0,64.2,49.0,28.9,18.2,11.4,8.4,6.2,16.2,31.1,397.9,62.68,14.08,14.99,8.25,0.00,0.00,0.00
03294550,0.24,2,1.18,05140101000482,0.00,0.00,0.17,23.0,2.6,6.7,15.22,1515.5,435.6,37.8,52.1,71.7,58.9,44.9,26.0,16.9,10.0,8.0,5.7,12.1,27.1,371.4,90.14,9.86,0.00,0.00,0.00,0.00,0.00
03294570,0.75,3,1.19,05140101000489,0.00,0.00,0.80,22.9,3.8,5.9,15.73,842.5,436.1,40.0,54.2,72.5,60.3,45.2,26.4,17.2,10.0,8.2,6.0,13.3,29.5,383.1,78.07,8.58,13.34,0.00,0.00,0.00,0.00
03295000,0.48,2,1.57,05140102000159,0.00,0.00,0.82,19.8,3.2,12.2,12.81,555.0,487.2,52.6,67.5,89.5,74.1,55.6,35.5,22.5,13.9,12.2,9.9,23.6,46.3,503.3,66.26,33.74,0.00,0.00,0.00,0.00,0.00
03295400,0.50,3,2.18,05140102000146,0.12,0.25,0.69,20.9,2.9,9.0,12.99,378.0,487.2,48.5,62.2,83.5,67.5,51.3,32.4,20.6,13.0,11.2,8.4,20.5,41.8,460.9,51.00,32.29,15.31,0.00,0.00,0.00,1.40
03295500,0.54,3,2.39,05140102000136,0.10,0.23,0.65,20.6,2.8,9.7,13.01,433.2,487.1,48.2,62.0,83.1,67.2,51.1,32.2,20.6,12.9,11.1,8.3,20.5,41.5,458.7,53.17,29.97,15.70,0.00,0.00,0.00,1.15
03295890,0.55,4,2.03,05140102000175,3.43,0.00,1.27,19.0,2.0,11.9,12.72,847.3,486.3,41.2,56.1,84.4,70.0,53.8,33.6,22.3,12.9,10.2,9.0,22.3,38.1,453.9,47.52,14.43,26.27,10.34,0.00,0.00,1.43
03297500,0.42,2,1.22,05140102000210,6.08,2.32,1.18,19.9,2.0,10.7,12.57,518.7,486.0,43.4,58.3,79.8,66.1,49.8,30.9,21.2,12.0,10.0,7.8,20.2,37.4,436.8,45.98,54.02,0.00,0.00,0.00,0.00,0.00
03297800,0.88,3,1.39,05140102000579,1.07,0.00,0.66,21.3,2.0,10.9,12.00,260.9,486.0,49.0,63.0,79.0,65.5,50.0,30.8,20.6,12.0,10.2,8.0,20.0,40.7,448.8,64.59,32.10,3.31,0.00,0.00,0.00,0.00
03297900,0.55,3,1.73,05140102000239,1.43,0.00,1.19,18.4,2.0,10.3,13.06,833.7,484.7,40.8,56.0,79.2,66.9,52.1,32.7,21.0,12.3,10.0,7.8,21.0,36.0,435.8,62.55,20.78,16.67,0.00,0.00,0.00,0.00
03298000,0.58,4,2.00,05140102000233,1.22,0.00,1.32,18.8,2.0,10.2,12.90,778.5,484.7,41.4,56.3,78.7,66.2,51.1,31.8,20.7,12.0,9.8,7.6,20.4,35.9,431.8,59.29,17.50,22.23,0.98,0.00,0.00,0.00
03298135,0.30,1,1.26,05140102000301,0.00,0.00,0.07,21.1,2.2,6.0,12.15,392.9,484.6,42.0,55.4,74.4,62.4,48.0,29.0,19.0,11.0,9.0,7.0,17.1,33.4,407.7,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03298150,0.30,1,1.19,05140102000301,0.00,0.00,0.66,21.0,2.1,6.3,12.12,356.2,485.3,42.3,56.0,74.9,62.6,48.0,28.9,19.0,11.0,9.0,7.0,17.0,33.6,409.2,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03298200,0.57,4,1.84,05140102000512,0.81,0.00,1.23,19.4,2.0,9.8,12.75,671.9,485.1,42.1,56.7,78.1,65.4,50.2,31.0,20.3,11.7,9.6,7.4,19.6,35.7,427.7,58.02,19.24,15.10,7.63,0.00,0.00,0.00
03298250,0.48,2,1.15,05140102000566,0.00,0.00,1.15,21.1,2.0,6.0,11.92,348.1,486.0,43.9,57.8,75.8,62.7,48.0,28.2,19.0,11.0,9.0,7.0,16.8,33.9,413.0,53.36,46.64,0.00,0.00,0.00,0.00,0.00
03298300,0.53,2,1.13,05140102000260,31.10,29.53,1.87,21.8,2.0,6.0,12.34,340.1,486.0,43.9,57.4,75.3,62.2,47.4,28.1,18.5,11.0,9.0,6.7,16.6,34.0,410.0,82.92,17.08,0.00,0.00,0.00,0.00,0.00
03298500,0.63,5,2.33,05140102000052,3.00,8.09,1.31,19.7,2.1,10.5,12.75,569.7,486.3,44.8,59.1,80.7,66.4,50.6,31.4,20.7,12.1,10.1,8.1,20.3,38.5,442.6,52.96,21.66,15.04,7.14,2.71,0.00,0.50
03298550,0.69,2,1.19,05140102000342,2.80,0.00,0.31,22.0,2.0,7.6,10.70,161.2,487.3,51.0,64.7,80.7,66.7,51.3,31.3,20.7,12.0,10.7,8.0,21.3,42.6,460.9,80.11,19.89,0.00,0.00,0.00,0.00,0.00
03299000,0.86,4,1.55,05140103000096,0.55,1.65,0.33,20.3,3.0,10.9,11.91,143.2,520.7,61.1,75.1,92.6,75.3,57.5,36.6,24.3,15.3,14.9,12.9,29.5,52.6,547.7,64.29,16.65,9.55,8.31,0.00,0.00,1.20
03300000,0.81,4,3.10,05140103000306,0.79,0.00,0.69,18.4,2.9,14.4,12.70,499.3,520.0,55.6,69.0,85.8,69.6,53.1,33.3,21.0,12.8,12.5,10.8,24.2,46.9,494.5,59.93,19.12,20.91,0.04,0.00,0.00,0.00
03300400,0.82,4,3.07,05140103000293,0.56,0.00,0.58,18.9,2.4,14.3,12.66,744.1,519.6,51.3,64.8,83.4,67.5,51.5,32.2,20.5,12.4,11.5,9.3,22.0,43.6,470.0,49.20,19.21,19.01,11.86,0.00,0.00,0.72
03301000,0.82,5,3.30,05140103000206,0.84,0.00,0.67,19.1,2.5,13.2,12.53,598.0,519.7,51.5,64.4,82.0,66.6,50.9,31.8,20.2,12.1,11.4,9.3,21.6,43.3,465.1,53.43,19.40,14.94,9.45,2.05,0.00,0.74
03301500,0.87,6,2.42,05140103000017,0.92,0.56,0.57,20.8,2.7,12.1,12.24,400.1,520.2,53.8,66.8,83.6,68.1,52.0,32.3,20.9,12.7,12.1,9.9,23.3,45.2,480.7,58.10,17.29,11.03,8.43,4.47,0.02,0.66
03301700,0.69,3,1.62,05140102000015,4.15,0.00,0.65,25.7,3.3,4.6,12.09,196.5,488.9,48.3,63.5,79.7,65.0,48.6,28.8,19.4,11.4,10.6,7.7,20.8,40.6,444.4,51.22,21.12,18.01,0.00,0.00,0.00,9.65
03301900,0.19,1,1.09,05140102000988,0.00,0.00,0.26,21.7,2.0,6.0,11.83,360.1,484.9,42.7,56.5,74.7,62.0,48.0,28.3,19.0,11.0,9.0,7.0,16.3,33.0,407.5,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03302000,0.46,3,1.31,05140102000960,1.12,0.00,0.67,22.9,2.1,10.0,13.38,1379.9,483.5,40.6,54.7,73.5,60.6,46.0,27.1,17.6,10.5,8.5,6.2,14.3,30.9,390.7,75.23,20.37,4.40,0.00,0.00,0.00,0.00
03302030,0.50,3,1.51,05140102000278,1.00,0.00,0.69,22.9,2.2,8.8,13.13,1125.0,483.6,41.0,55.1,73.8,60.9,46.1,27.3,17.7,10.6,8.6,6.2,14.6,31.4,393.1,69.42,14.48,16.10,0.00,0.00,0.00,0.00
03302050,0.55,1,1.19,05140102000288,0.00,0.00,0.40,23.0,2.0,3.0,11.50,58.0,486.0,43.8,57.9,75.8,62.8,46.9,28.0,18.1,11.0,9.1,6.9,16.9,35.8,412.9,100.00,0.00,0.00,0.00,0.00,0.00,0.00
03302110,0.36,4,1.44,05140104000030,0.26,0.00,1.29,25.8,3.5,5.2,12.51,303.5,496.7,48.5,64.6,81.8,67.3,50.1,29.3,19.1,11.3,10.3,7.7,21.3,41.0,452.4,52.36,19.54,19.29,8.81,0.00,0.00,0.00
03302220,0.46,3,1.33,05140104000050,4.58,0.00,0.89,23.1,3.6,6.0,11.91,850.1,492.8,42.4,56.9,74.8,62.0,46.7,27.2,17.3,10.1,8.5,6.0,14.9,31.9,398.6,41.06,40.29,10.78,0.00,0.00,0.00,7.88
03302300,0.40,2,1.37,05140104000083,0.00,0.00,1.18,22.8,3.0,5.0,11.00,324.5,484.1,39.0,53.1,72.1,60.1,45.5,26.7,16.7,10.0,8.0,5.7,13.4,28.8,379.1,18.43,81.57,0.00,0.00,0.00,0.00,0.00
03302500,0.50,4,1.83,05140104000074,0.58,0.00,0.59,23.2,2.9,5.7,12.27,313.4,492.7,40.0,55.4,76.8,64.8,49.2,29.0,18.4,10.8,8.5,6.1,17.0,32.9,408.9,46.70,28.56,5.05,19.69,0.00,0.00,0.00
03302680,0.51,3,1.23,05140104000134,0.00,0.00,0.30,21.1,3.0,5.9,11.49,185.5,489.5,35.5,49.7,80.5,71.8,54.2,32.9,20.6,12.9,9.5,8.0,22.0,34.2,431.8,66.59,21.77,11.65,0.00,0.00,0.00,0.00
03302800,0.45,4,1.80,05140104000107,1.14,0.00,0.48,23.4,3.1,5.8,12.49,290.0,492.3,37.0,51.9,80.5,70.6,53.4,32.1,20.2,12.2,9.1,7.4,21.7,34.5,430.8,53.18,19.45,27.12,0.26,0.00,0.00,0.00
03303000,0.39,4,2.39,05140104000093,0.78,0.00,0.40,24.1,3.0,5.9,12.32,226.4,492.9,38.9,54.2,81.5,71.0,54.2,32.6,20.6,12.2,9.2,7.8,22.8,36.4,441.4,48.92,14.97,19.76,14.36,0.00,0.00,1.99
03303300,0.46,2,1.38,05140201000077,10.74,12.67,1.38,24.9,3.0,4.5,12.25,51.8,403.2,42.5,56.9,78.1,67.6,51.7,30.2,20.1,12.2,9.0,7.0,23.1,38.0,436.4,66.31,33.69,0.00,0.00,0.00,0.00,0.00
03303400,0.50,2,1.08,05140201000123,0.00,0.00,0.95,21.9,3.5,7.0,12.22,130.5,401.7,40.0,53.0,72.2,64.0,49.2,28.2,19.4,12.0,9.0,6.2,21.0,35.0,409.1,89.26,10.74,0.00,0.00,0.00,0.00,0.00
03304500,0.98,2,1.09,05110001002371,0.00,0.00,0.10,21.9,3.0,7.0,10.37,61.4,594.0,61.5,73.5,88.0,70.8,54.0,34.6,23.5,14.8,14.3,12.8,31.5,53.5,533.0,90.67,9.33,0.00,0.00,0.00,0.00,0.00
03305000,0.90,3,1.32,05110001000378,0.81,1.62,0.48,21.5,3.1,7.9,10.99,72.1,591.7,60.9,73.1,88.0,70.9,54.0,34.4,23.1,14.5,14.3,12.5,31.0,53.0,529.7,73.88,12.43,13.69,0.00,0.00,0.00,0.00
03306000,0.93,7,1.81,05110001000301,4.37,26.84,2.07,22.9,3.1,7.4,11.89,86.0,593.8,63.7,76.5,91.1,72.6,56.0,35.6,23.9,15.2,15.3,14.0,31.6,54.8,550.3,65.68,16.52,6.98,4.78,1.26,4.45,0.33
